item_id,pedido_id,sku,quantidade,preco_unitario,subtotal
IT00000001,PED00000001,SKU007,1,12.99,12.99
IT00000002,PED00000001,SKU007,3,12.42,37.27
IT00000003,PED00000001,SKU005,1,8.34,8.34
IT00000004,PED00000002,SKU013,2,10.52,21.05
IT00000005,PED00000003,SKU005,2,8.8,17.6
IT00000006,PED00000003,SKU002,1,4.28,4.28
IT00000007,PED00000004,SKU009,1,19.5,19.5
IT00000008,PED00000004,SKU014,12,7.15,85.78
IT00000009,PED00000005,SKU001,6,6.81,40.88
IT00000010,PED00000006,SKU004,6,7.86,47.13
IT00000011,PED00000006,SKU003,1,3.93,3.93
IT00000012,PED00000006,SKU013,1,10.4,10.4
IT00000013,PED00000006,SKU008,1,19.7,19.7
IT00000014,PED00000006,SKU007,6,12.76,76.59
IT00000015,PED00000007,SKU010,3,15.12,45.36
IT00000016,PED00000008,SKU004,3,8.14,24.42
IT00000017,PED00000008,SKU013,1,10.77,10.77
IT00000018,PED00000008,SKU012,2,11.95,23.91
IT00000019,PED00000009,SKU013,1,11.24,11.24
IT00000020,PED00000009,SKU008,2,19.4,38.81
IT00000021,PED00000009,SKU004,12,7.58,91.01
IT00000022,PED00000009,SKU011,1,16.56,16.56
IT00000023,PED00000010,SKU004,2,8.14,16.28
IT00000024,PED00000011,SKU013,6,10.89,65.35
IT00000025,PED00000011,SKU005,1,8.11,8.11
IT00000026,PED00000011,SKU001,1,6.32,6.32
IT00000027,PED00000011,SKU009,2,19.57,39.13
IT00000028,PED00000012,SKU001,1,6.63,6.63
IT00000029,PED00000012,SKU003,3,3.93,11.79
IT00000030,PED00000013,SKU007,3,13.49,40.48
IT00000031,PED00000014,SKU005,1,8.69,8.69
IT00000032,PED00000014,SKU012,6,11.77,70.63
IT00000033,PED00000014,SKU013,12,10.39,124.68
IT00000034,PED00000015,SKU006,1,10.28,10.28
IT00000035,PED00000015,SKU002,6,4.27,25.63
IT00000036,PED00000016,SKU001,1,6.46,6.46
IT00000037,PED00000017,SKU014,2,7.69,15.39
IT00000038,PED00000017,SKU004,1,7.56,7.56
IT00000039,PED00000018,SKU002,2,4.37,8.73
IT00000040,PED00000019,SKU001,1,6.31,6.31
IT00000041,PED00000019,SKU004,2,7.94,15.89
IT00000042,PED00000020,SKU003,1,3.61,3.61
IT00000043,PED00000020,SKU002,1,4.27,4.27
IT00000044,PED00000020,SKU010,2,14.3,28.6
IT00000045,PED00000020,SKU004,1,7.74,7.74
IT00000046,PED00000021,SKU006,6,9.77,58.62
IT00000047,PED00000021,SKU008,1,18.79,18.79
IT00000048,PED00000022,SKU007,12,13.02,156.19
IT00000049,PED00000022,SKU009,1,19.68,19.68
IT00000050,PED00000022,SKU009,2,19.97,39.94
IT00000051,PED00000022,SKU014,6,7.55,45.33
IT00000052,PED00000023,SKU002,6,4.18,25.07
IT00000053,PED00000023,SKU003,12,3.92,47.01
IT00000054,PED00000023,SKU003,1,3.64,3.64
IT00000055,PED00000024,SKU002,2,4.16,8.31
IT00000056,PED00000024,SKU006,6,9.92,59.52
IT00000057,PED00000024,SKU015,6,7.1,42.59
IT00000058,PED00000024,SKU010,2,15.32,30.64
IT00000059,PED00000025,SKU015,1,6.84,6.84
IT00000060,PED00000025,SKU007,3,12.99,38.98
IT00000061,PED00000025,SKU008,1,18.48,18.48
IT00000062,PED00000025,SKU003,3,3.87,11.61
IT00000063,PED00000026,SKU001,1,6.69,6.69
IT00000064,PED00000026,SKU005,1,8.49,8.49
IT00000065,PED00000026,SKU012,3,12.46,37.39
IT00000066,PED00000026,SKU004,1,8.27,8.27
IT00000067,PED00000027,SKU015,6,7.07,42.4
IT00000068,PED00000027,SKU013,2,10.76,21.53
IT00000069,PED00000028,SKU004,6,7.66,45.98
IT00000070,PED00000029,SKU015,1,6.58,6.58
IT00000071,PED00000029,SKU006,2,9.85,19.69
IT00000072,PED00000030,SKU005,1,8.12,8.12
IT00000073,PED00000030,SKU014,2,7.85,15.7
IT00000074,PED00000030,SKU014,1,7.29,7.29
IT00000075,PED00000031,SKU013,1,10.63,10.63
IT00000076,PED00000032,SKU011,2,16.7,33.41
IT00000077,PED00000032,SKU010,1,14.92,14.92
IT00000078,PED00000033,SKU006,6,9.66,57.98
IT00000079,PED00000033,SKU012,12,12.08,144.96
IT00000080,PED00000034,SKU011,2,16.16,32.33
IT00000081,PED00000034,SKU015,2,6.82,13.65
IT00000082,PED00000034,SKU001,2,6.82,13.64
IT00000083,PED00000035,SKU009,1,19.24,19.24
IT00000084,PED00000035,SKU011,6,15.97,95.84
IT00000085,PED00000035,SKU002,2,4.3,8.6
IT00000086,PED00000036,SKU004,3,7.75,23.24
IT00000087,PED00000036,SKU013,6,10.76,64.56
IT00000088,PED00000037,SKU009,1,20.26,20.26
IT00000089,PED00000037,SKU009,1,19.01,19.01
IT00000090,PED00000037,SKU014,1,7.87,7.87
IT00000091,PED00000037,SKU006,2,9.97,19.94
IT00000092,PED00000038,SKU001,1,6.35,6.35
IT00000093,PED00000038,SKU013,3,10.98,32.95
IT00000094,PED00000039,SKU004,3,8.26,24.77
IT00000095,PED00000040,SKU002,2,4.24,8.47
IT00000096,PED00000040,SKU003,1,3.63,3.63
IT00000097,PED00000041,SKU013,1,11.39,11.39
IT00000098,PED00000041,SKU015,6,6.57,39.41
IT00000099,PED00000042,SKU007,6,12.58,75.51
IT00000100,PED00000042,SKU009,3,20.09,60.26
