pedido_id,cliente_id,loja_id,criado_em,status,subtotal,taxa_entrega,total,canal
PED00000001,CLI00939,LJ12,2025-09-01T11:37:06,PAGO,58.6,10.61,69.21,WEB
PED00000002,CLI00652,LJ08,2025-09-01T14:14:04,CANCELADO,21.05,6.15,27.2,APP_ANDROID
PED00000003,CLI00644,LJ07,2025-09-01T11:34:22,PENDENTE,21.88,10.78,32.66,WEB
PED00000004,CLI01712,LJ06,2025-09-01T12:05:45,PAGO,105.28,7.83,113.11,APP_ANDROID
PED00000005,CLI00512,LJ02,2025-09-01T17:06:51,PAGO,40.88,5.92,46.8,APP_ANDROID
PED00000006,CLI01193,LJ10,2025-09-01T14:58:52,PAGO,157.75,5.21,162.96,WEB
PED00000007,CLI00440,LJ03,2025-09-01T14:17:28,PAGO,45.36,8.49,53.85,WEB
PED00000008,CLI00573,LJ07,2025-09-01T12:26:12,PAGO,59.1,8.39,67.49,WEB
PED00000009,CLI00554,LJ03,2025-09-01T10:20:38,PAGO,157.62,10.54,168.16,WEB
PED00000010,CLI01180,LJ07,2025-09-01T15:59:53,PENDENTE,16.28,9.88,26.16,WEB
PED00000011,CLI01941,LJ10,2025-09-01T19:09:36,CANCELADO,118.91,9.3,128.21,APP_IOS
PED00000012,CLI00698,LJ12,2025-09-01T12:58:51,PAGO,18.42,11.02,29.44,APP_IOS
PED00000013,CLI01201,LJ02,2025-09-01T15:19:20,PAGO,40.48,9.54,50.02,APP_IOS
PED00000014,CLI00458,LJ11,2025-09-01T19:52:11,PAGO,204.0,9.22,213.22,WEB
PED00000015,CLI01919,LJ08,2025-09-01T12:21:47,PAGO,35.91,10.11,46.02,APP_ANDROID
PED00000016,CLI00430,LJ04,2025-09-01T21:04:22,PAGO,6.46,7.94,14.4,APP_IOS
PED00000017,CLI01806,LJ07,2025-09-01T15:34:24,PAGO,22.95,10.92,33.87,APP_ANDROID
PED00000018,CLI01950,LJ02,2025-09-01T11:21:10,PAGO,8.73,5.65,14.38,WEB
PED00000019,CLI01443,LJ01,2025-09-01T16:41:10,PAGO,22.2,11.48,33.68,WEB
PED00000020,CLI00610,LJ04,2025-09-01T11:03:25,PAGO,44.22,5.57,49.79,APP_IOS
PED00000021,CLI00965,LJ08,2025-09-01T20:16:05,PAGO,77.41,6.84,84.25,APP_ANDROID
PED00000022,CLI01541,LJ12,2025-09-01T20:06:05,PAGO,261.14,6.65,267.79,APP_ANDROID
PED00000023,CLI01029,LJ10,2025-09-01T18:51:36,PAGO,75.72,9.78,85.5,APP_IOS
PED00000024,CLI01709,LJ10,2025-09-01T14:20:58,PAGO,141.06,5.79,146.85,APP_IOS
PED00000025,CLI01895,LJ02,2025-09-01T19:49:06,PAGO,75.91,7.81,83.72,APP_ANDROID
PED00000026,CLI01415,LJ04,2025-09-01T10:47:30,CANCELADO,60.84,8.1,68.94,APP_ANDROID
PED00000027,CLI00552,LJ12,2025-09-01T16:38:41,PAGO,63.93,5.39,69.32,APP_IOS
PED00000028,CLI00827,LJ03,2025-09-01T22:54:33,PAGO,45.98,5.4,51.38,APP_IOS
PED00000029,CLI01444,LJ04,2025-09-01T14:23:52,PAGO,26.27,11.72,37.99,APP_ANDROID
PED00000030,CLI00706,LJ03,2025-09-01T23:57:16,PAGO,31.11,6.45,37.56,WEB
PED00000031,CLI01771,LJ11,2025-09-01T10:30:58,PAGO,10.63,10.64,21.27,APP_ANDROID
PED00000032,CLI00868,LJ07,2025-09-01T23:22:29,PAGO,48.33,9.64,57.97,APP_ANDROID
PED00000033,CLI00612,LJ11,2025-09-01T11:30:04,PAGO,202.94,6.32,209.26,WEB
PED00000034,CLI01650,LJ10,2025-09-01T16:42:20,PAGO,59.62,10.71,70.33,APP_ANDROID
PED00000035,CLI01406,LJ09,2025-09-01T20:50:30,CANCELADO,123.68,10.08,133.76,WEB
PED00000036,CLI01563,LJ03,2025-09-01T20:57:21,PAGO,87.8,9.1,96.9,APP_ANDROID
PED00000037,CLI00110,LJ11,2025-09-01T19:37:39,PAGO,67.08,11.35,78.43,APP_ANDROID
PED00000038,CLI01596,LJ02,2025-09-01T17:21:40,PENDENTE,39.3,6.11,45.41,APP_IOS
PED00000039,CLI01298,LJ07,2025-09-01T16:27:30,PAGO,24.77,11.24,36.01,WEB
PED00000040,CLI01284,LJ12,2025-09-01T13:14:44,PAGO,12.1,11.64,23.74,APP_ANDROID
PED00000041,CLI00692,LJ07,2025-09-01T20:08:21,PENDENTE,50.8,6.57,57.37,APP_IOS
PED00000042,CLI01208,LJ09,2025-09-01T12:07:23,PAGO,155.57,5.14,160.71,WEB
PED00000043,CLI00779,LJ02,2025-09-01T18:16:30,PAGO,65.05,9.36,74.41,WEB
PED00000044,CLI01048,LJ12,2025-09-01T19:07:18,PAGO,24.36,10.82,35.18,APP_IOS
PED00000045,CLI00605,LJ03,2025-09-01T10:35:31,CANCELADO,76.95,5.63,82.58,WEB
PED00000046,CLI00154,LJ12,2025-09-01T21:06:57,PAGO,15.27,7.03,22.3,WEB
PED00000047,CLI00195,LJ01,2025-09-01T10:54:08,PAGO,62.1,6.88,68.98,WEB
PED00000048,CLI00375,LJ02,2025-09-01T16:25:29,PAGO,34.78,9.87,44.65,APP_IOS
PED00000049,CLI00213,LJ07,2025-09-02T19:30:51,PAGO,69.86,10.09,79.95,APP_IOS
PED00000050,CLI00232,LJ07,2025-09-02T17:02:04,PAGO,95.53,11.85,107.38,WEB
PED00000051,CLI01072,LJ12,2025-09-02T21:39:06,PAGO,111.66,9.5,121.16,APP_IOS
PED00000052,CLI01745,LJ08,2025-09-02T23:10:04,PAGO,129.07,10.72,139.79,APP_IOS
